countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,,,,,,,,,,,,,,,,,,,29317.833333333332,29246.1875,29176.777777777777,29550.833333333332,30038.555555555555,30440.722222222223,30383.11111111111,30159.0,30035.555555555555,30054.222222222223,30192.333333333332,30359.0,30687.0,31052.777777777777,31515.666666666668,31768.222222222223,31897.88888888889,31691.5,31472.833333333332
Canada,27626.333333333332,28266.5,28903.88888888889,29562.222222222223,29654.88888888889,29262.777777777777,28452.666666666668,27831.222222222223,27455.444444444445,27359.666666666668,27190.0,27104.444444444445,27364.666666666668,28070.333333333332,28939.777777777777,29646.88888888889,30047.555555555555,30281.555555555555,30479.222222222223,30775.333333333332,31221.222222222223,31762.444444444445,32265.11111111111,32582.777777777777,32737.88888888889,32987.333333333336,33467.88888888889,34101.0,34655.555555555555,34905.77777777778,34972.555555555555,35011.88888888889,35314.666666666664,35570.22222222222,35817.88888888889,35795.5,35997.5
Germany,28599.833333333332,29262.125,30054.0,31072.0,31486.555555555555,31323.777777777777,30504.666666666668,29875.444444444445,29428.555555555555,29317.222222222223,29230.222222222223,29267.0,29418.444444444445,29740.88888888889,29928.0,29848.11111111111,29410.555555555555,28965.333333333332,28482.444444444445,28134.11111111111,27896.11111111111,27995.222222222223,28130.666666666668,28229.777777777777,28219.555555555555,28251.0,28232.555555555555,28201.0,28333.11111111111,28827.333333333332,29569.444444444445,30377.444444444445,31174.0,31959.0,32824.22222222222,33454.25,34047.5
Ireland,,,12144.0,12417.0,12690.0,,,,,,,,,,,,,23763.5,23700.25,23731.88888888889,23802.11111111111,23362.777777777777,22005.11111111111,19767.666666666668,17709.222222222223,16432.555555555555,16182.333333333334,16756.11111111111,17981.555555555555,19610.444444444445,21475.444444444445,23400.0,25451.444444444445,26987.11111111111,28241.444444444445,28852.625,29586.166666666668
Israel,,12826.777777777776,12925.166666666668,13023.555555555555,,,,14462.066666666666,14492.600000000002,14523.133333333333,14630.0,14842.675,14998.666666666666,15068.5,15218.142857142857,15228.083333333334,15038.42857142857,14715.0,14679.777777777777,14859.0,15340.777777777777,15877.111111111111,16353.666666666666,16654.555555555555,16818.444444444445,17063.11111111111,17576.555555555555,18452.666666666668,19532.666666666668,20522.88888888889,21390.666666666668,22189.333333333332,22883.555555555555,22989.333333333332,22471.333333333332,21728.125,21331.0
Luxembourg,,,,,,,,,,,,,,,,,,37000.333333333336,37368.25,37664.666666666664,38220.88888888889,38254.555555555555,38096.444444444445,37354.0,36787.77777777778,36064.0,35536.444444444445,35311.333333333336,35668.444444444445,36519.444444444445,37057.77777777778,37714.11111111111,38044.77777777778,39560.61111111111,41783.444444444445,44603.0625,47158.333333333336
Sweden,,,,,,,,,,,16526.266666666666,16900.4,17274.533333333333,18584.0,20773.95,21853.5,22142.0,22410.444444444445,22776.666666666668,23183.0,23833.0,24712.555555555555,25587.222222222223,26146.777777777777,26482.222222222223,26792.0,27205.333333333332,27568.0,27919.11111111111,28460.0,29109.88888888889,29740.444444444445,30085.88888888889,30304.88888888889,30533.333333333332,30751.625,30997.666666666668
United Kingdom,17068.0,17494.25,18084.777777777777,18879.222222222223,19493.0,19721.11111111111,19561.11111111111,19176.666666666668,18951.555555555555,19089.777777777777,19579.88888888889,20303.333333333332,21001.444444444445,21771.444444444445,22511.666666666668,23301.11111111111,23908.0,24387.555555555555,24745.666666666668,25134.777777777777,25500.0,25823.0,25874.11111111111,25608.333333333332,25041.666666666668,24488.0,24077.0,23977.88888888889,24132.0,24524.666666666668,24937.88888888889,25347.333333333332,25818.0,26209.222222222223,26482.88888888889,26404.75,26348.5
United States,32859.833333333336,33298.125,33772.666666666664,34078.22222222222,33967.555555555555,33385.77777777778,32696.222222222223,32180.0,32021.777777777777,32257.0,32748.777777777777,33523.666666666664,34480.22222222222,35512.444444444445,36267.0,36577.88888888889,36423.444444444445,36097.444444444445,35831.22222222222,35774.11111111111,35950.22222222222,36020.555555555555,35708.11111111111,34850.0,33840.666666666664,33092.555555555555,32786.88888888889,32911.666666666664,33456.11111111111,34388.88888888889,35550.22222222222,36651.444444444445,37772.555555555555,38601.555555555555,39287.88888888889,39379.5,39519.0
