countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,,,,,,,,,,,,,,,,,,,,,29139.333333333332,29171.125,29395.5,29778.3,29853.9,30195.7,30356.8,30243.2,30100.4,30091.0,30157.2,30408.8,30819.0,30951.8,31516.8,31753.0,31679.8
Canada,,,27988.0,28468.0,28818.6,29420.8,29356.8,29129.6,28515.8,28020.0,27579.2,27271.6,27083.6,27333.0,27614.4,28093.8,28824.2,29535.4,29979.2,30268.2,30542.0,30832.6,31242.0,31801.6,32169.6,32431.8,32807.4,33153.0,33512.4,34048.0,34562.8,34764.2,34959.8,35178.4,35421.4,35333.4,35789.4
Germany,,,28963.0,29538.0,30031.0,31022.6,31065.0,31014.6,30693.4,30089.2,29361.4,29417.6,29249.8,29248.8,29547.0,29795.2,29673.4,29689.2,29486.8,29024.0,28381.8,28214.6,28090.0,28040.4,27987.6,28203.6,28307.6,28245.6,28105.6,28274.2,28563.0,28915.6,29520.0,30368.0,31216.2,31941.0,32840.8
Ireland,,,,,12417.0,12417.0,12417.0,,,,,,,,,,,,,23693.0,23696.75,23844.6,23781.4,22823.6,21505.8,19915.4,18187.6,16742.6,16389.8,17028.2,18212.6,19501.4,21523.8,23597.2,25272.8,26577.8,28307.6
Israel,,,,12925.166666666666,12925.166666666666,12925.166666666666,,,,14492.6,14492.6,14492.6,14645.266666666668,14837.233333333335,15068.5,15068.5,15225.625,15098.375,14881.25,14780.75,14898.4,14882.0,15367.6,15903.4,16226.6,16572.6,16880.8,17144.4,17736.4,18577.4,19464.6,20387.6,21395.6,22298.2,22711.4,22460.2,22417.0
Luxembourg,,,,,,,,,,,,,,,,,,,,37129.666666666664,37503.0,37638.8,38250.0,37942.8,37899.4,37497.0,36856.8,35856.0,35733.8,35650.2,35791.8,36521.6,36715.4,37858.6,38309.8,39866.3,42394.7
Sweden,,,,,,,,,,,,,16900.399999999998,16900.399999999998,16900.399999999998,18771.066666666666,20568.600000000002,22016.0,22198.75,22384.8,22800.4,23234.8,23993.4,24771.4,25373.4,25950.0,26614.8,26899.6,27067.4,27536.6,28050.6,28554.6,29070.6,29592.6,30010.8,30366.8,30572.2
United Kingdom,,,17250.333333333332,17735.5,18145.4,18790.8,19350.2,19559.4,19434.2,19258.2,19138.2,19221.6,19637.8,20307.2,20957.6,21808.6,22559.8,23232.4,23769.6,24419.0,24765.8,25098.6,25514.6,25788.2,25656.4,25487.2,25090.2,24560.2,24138.6,24121.8,24219.8,24516.8,24893.8,25356.2,25920.6,26092.6,26278.4
United States,,,33155.666666666664,33420.0,33699.8,33891.4,33734.4,33366.0,32803.0,32289.8,32197.4,32337.2,32777.6,33664.8,34522.4,35408.2,36067.0,36382.0,36366.0,36160.6,35904.4,35862.8,36011.6,35831.4,35384.0,34797.2,34044.4,33241.6,32906.0,33044.4,33623.8,34510.6,35481.4,36538.4,37908.6,38430.6,39009.4
