countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,27988.0,28468.0,28818.6,29420.8,29356.8,29129.6,28515.8,28020.0,27579.2,27271.6,27083.6,27333.0,27614.4,28093.8,28824.2,29535.4,29979.2,30268.2,30542.0,30832.6,31242.0,31801.6,32169.6,32431.8,32807.4,33153.0,33512.4,34048.0,34562.8,34764.2,34959.8,35178.4,35421.4,35333.4,35789.4,35948.75,35934.0
Germany,28963.0,29538.0,30031.0,31022.6,31065.0,31014.6,30693.4,30089.2,29361.4,29417.6,29249.8,29248.8,29547.0,29795.2,29673.4,29689.2,29486.8,29024.0,28381.8,28214.6,28090.0,28040.4,27987.6,28203.6,28307.6,28245.6,28105.6,28274.2,28563.0,28915.6,29520.0,30368.0,31216.2,31941.0,32840.8,33280.25,33729.666666666664
Luxembourg,,,,,,,,,,,,,,,,,,37129.666666666664,37503.0,37638.8,38250.0,37942.8,37899.4,37497.0,36856.8,35856.0,35733.8,35650.2,35791.8,36521.6,36715.4,37858.6,38309.8,39866.3,42394.7,44104.625,45101.5
United Kingdom,17250.333333333332,17735.5,18145.4,18790.8,19350.2,19559.4,19434.2,19258.2,19138.2,19221.6,19637.8,20307.2,20957.6,21808.6,22559.8,23232.4,23769.6,24419.0,24765.8,25098.6,25514.6,25788.2,25656.4,25487.2,25090.2,24560.2,24138.6,24121.8,24219.8,24516.8,24893.8,25356.2,25920.6,26092.6,26278.4,26448.75,26541.666666666668
United States,33155.666666666664,33420.0,33699.8,33891.4,33734.4,33366.0,32803.0,32289.8,32197.4,32337.2,32777.6,33664.8,34522.4,35408.2,36067.0,36382.0,36366.0,36160.6,35904.4,35862.8,36011.6,35831.4,35384.0,34797.2,34044.4,33241.6,32906.0,33044.4,33623.8,34510.6,35481.4,36538.4,37908.6,38430.6,39009.4,39381.5,39688.666666666664
